ID,Timestamp,Titulo,Preco,Estado
MLB1108154566,2018-10-23,Playstation 4 Slim 1tb + 3 Jogos + 3 Meses Plus + Brinde,2554.9,Parana
MLB1088689298,2018-10-23,Console Sony Playstation 4 Slim 1tb Hits Anatel 1ano Garanti,1999.0,Parana
MLB1118954875,2018-10-23,Ps4 Slim 1tb Playstation 4 Cuh-2115b Original - Oferta!,1799.0,Parana
MLB1098760697,2018-10-23,Ps4 Slim Playstation 4 Sony 1tb 3 Jogos+ Psn God Of War 2018,2150.0,Parana
MLB1117421211,2018-10-23,Playstation 4 Ps4 Slim 1tb Hd 1000gb,1860.0,Parana
MLB1116536719,2018-10-23,Console Ps4 Sony Playstation 4 Slim 1tb Bundle Fifa 19,1999.0,Parana
MLB1098314386,2018-10-23,Ps4 Slim Playstation 4 Sony 1tb 3 Jogos+psn+ 02 Controles!,2399.0,Parana
MLB1115964795,2018-10-23,Playstation 4 Slim Ps4 1tb Sony Original Pronta Entrega,1750.0,Parana
MLB1098760777,2018-10-23,Ps4 Slim Playstation 4 Sony 1tb 3 Jogos+ Psn God Of War 2018,2150.0,Parana
MLB1088049894,2018-10-23,Console Sony Playstation 4 Slim 1tb - Preto (220v),1990.0,Parana
MLB923553558,2018-10-23,Console Sony Ps4 Pro 7015b 4k 1 Controle,2790.0,Parana
MLB1071066884,2018-10-23,Console Sony Playstation 4 Slim 1tb Bundle God Of War  Gran,2150.0,Parana
MLB1121566804,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 2 Contrls +3 Meses Psn +fifa 19,2662.99,Parana
MLB1106763113,2018-10-23,Ps4 Playstation 4 Slim 1tb Sony Bivolt + Nota Fiscal,1779.97,Parana
MLB1075164544,2018-10-23,Ps4 Playstation 4slim Sony 1tb 3 Jogos+ Psn 2 Controles!,2399.0,Parana
MLB1118369149,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 3 Meses De Psn + Envio Imediato,2235.0,Parana
MLB1110273908,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 2 Controles +3 Meses Psn,2382.99,Parana
MLB1116900085,2018-10-23,Ps4 Slim 1tb +god Of War 4+uncharted 4+gt Sports+3 Meses Psn,2099.0,Parana
MLB1046274507,2018-10-23,Playstation Slim 1tb 02 Controles 01 Jogo Grátis Escolha!!!,2099.0,Parana
MLB1104792224,2018-10-23,Playstation 4 Slim Ps4 Sony 1tb + 3 Jogos Originais,1720.0,Parana
MLB1104796004,2018-10-23,Playstation 4 Slim 1tb Ps4 Sony + Kit 3 Jogos Originais,1825.0,Parana
MLB1071128743,2018-10-23,Ps4 Playstation 4 1tb 3 Jogos God Of War Psn 3 Meses + Nf,2150.0,Parana
MLB1100855612,2018-10-23,Playstation 4 Slim 1tb Sony Ps4 Original Envio Imediato,1652.0,Parana
MLB1085488122,2018-10-23,Ps4 Slim 1tb Hdr Playstation 4 - Original - Envio Imediato!,1799.99,Parana
MLB1092104890,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos Bundle Playstation 4 Novo,2219.8,Parana
MLB1079617990,2018-10-23,Ps4 Slim 1tb 4k Playstation 4 +3jogos+psn+01controle-oferta!,2439.95,Parana
MLB1118643097,2018-10-23,Console Sony Ps4 Slim Playstation4 1tb Com 3 Jogos,2170.0,Parana
MLB1091355014,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 2 Controles +3 Meses Psn,2494.0,Parana
MLB1118373038,2018-10-23,Console Playstation 4 Slim De 1tb Hits 3 Jogos,2170.0,Parana
MLB1117140855,2018-10-23,Console Sony Playstation 4 Slim 1tb 2215b Com Fifa 19,2199.0,Parana
MLB1118643083,2018-10-23,Console Sony Ps4 Slim Playstation4 1tb Com 3 Games,2235.0,Parana
MLB1118355856,2018-10-23,Console Playstation 4 Slim 1tb + 03 Jogos Plus 3 Meses,2170.0,Parana
MLB1118369156,2018-10-23,Console Playstation 4 Ps4 Slim 1tb Bundlec/3 Jogos S/psn,2170.0,Parana
MLB1118373029,2018-10-23,Console Sony Ps4 Slim Playstation4 1tb Com 3 Games,2235.0,Parana
MLB1092102531,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos Bundle Playstation 4 + Nf,2359.8,Parana
MLB1118373043,2018-10-23,Console Sony Ps4 Slim Playstation4 1tb Com 3 Jogos,2235.0,Parana
MLB1118645969,2018-10-23,Console Playstation 4 Slim 1tb + 03 Jogos Plus 3 Meses,2235.0,Parana
MLB1120122952,2018-10-23,Playstation Sony 4 Ps4 Play 4 Slim 1tb Hits Bundle,2099.9,Parana
MLB1111470527,2018-10-23,Console Ps4 Slim 1tb + God Of War 18/uncharted4/gran Turismo,2159.0,Parana
MLB983290231,2018-10-23,Console Sony Playstation 4 Slim 1tb + Jogo Call Of Duty Wwii,2099.0,Parana
MLB966741544,2018-10-23,Ps4 Sony Console Slim 1tb Bundle Star Wars Battlefront 2 Nf,2299.0,Parana
MLB957084756,2018-10-23,Ps4 1tb Fifa 2019 Playstation Lançamento 2 Controles,2399.0,Parana
MLB940610085,2018-10-23,Playstation 4 1tb Ps4 Ultimate + 2 Controles Com Nf Lacrado,2289.0,Parana
MLB933963239,2018-10-23,Ps4 1tb Slim Playstation 4 Sony +2 Controles C/nf,2199.0,Parana
MLB1092549651,2018-10-23,Playstation 4 1tb Ps4 Slim Hdr Bivolt Pronta Entrega,1799.0,Parana
MLB945283867,2018-10-23,Console Sony Playstation 4 Slim 1tb,1700.0,Parana
MLB1091353587,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 3 Meses De Psn + Frete Gratis,2194.99,Parana
MLB1087388362,2018-10-23,Console Sony Playstation 4 Slim 1tb Com 3 Jogos Preto Bivolt,2390.0,Parana
MLB1118645934,2018-10-23,Console Playstation 4 Slim De 1tb Hits 3 Jogos,2235.0,Parana
MLB1115964797,2018-10-23,Playstation 4 Slim Ps4 1tb Sony Original Envio Imediato,1652.0,Parana
MLB931937333,2018-10-23,Console Sony Ps4 Slim 1tb Bivolt Americano Preto,1769.0,Parana
MLB1095309992,2018-10-23,Ps4 Slim 1tb 4k Playstation 4 (3jogos+psn)-envio Imediato!,2129.95,Parana
MLB1087388119,2018-10-23,Console Sony Playstation 4 Slim 1tb Com 3 Jogos Preto Bivolt,2390.0,Parana
MLB1102141714,2018-10-23,Console Sony Playstation 4 Slim Ps4 Slim 1tb Hdr,2079.0,Parana
MLB849839266,2018-10-23,Console Sony Playstation 4 Slim 1tb + Jogo Call Of Duty Wwii,2622.0,Parana
MLB1091354516,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 3 Meses De Psn + Frete Gratis,2194.99,Parana
MLB1096319675,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos Bundle + 2 Controles Envio Imediat,2399.99,Parana
MLB1091347606,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos + 3 Meses De Psn + Envio Imediato,2109.99,Parana
MLB1087082934,2018-10-23,Ps4 Slim 1 Tb 2115b Novo Lacrado Com 3 Jogos Fisicos+ Psn,2199.0,Parana
MLB1118365101,2018-10-23,Playstation Sony Ps4 Play 4 Slim 1tb Hits Bundle,2235.0,Parana
MLB1118369158,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos Bundl Playstation 4 Pronta Entrega,2235.0,Parana
MLB1123031159,2018-10-23,Playstation Sony 4 Ps4 Play 4 Slim 1tb 2115b - Preço Justo!,2043.0,Parana
MLB1117844909,2018-10-23,Playstation 4 Slim 1tb Novo Lacrado,1950.0,Parana
MLB1110497109,2018-10-23,Playstation 4 Sony Slim De 1tb Hdr Usb Hdmi Fone + Pes 2019,2259.9,Parana
MLB1113629259,2018-10-23,Ps4 Slim 1tb Playstation Sony Bivolt 2115b Novo,2390.0,Parana
MLB1118645902,2018-10-23,Playstation Sony 4 Ps4 Play 4 Slim 1tb Hits Bundle,2235.0,Parana
MLB1101757134,2018-10-23,Ps4 Console Sony Playstation 4 1tb 2116b Slim Novo Promoção,1869.99,Parana
MLB1107057332,2018-10-23,Ma Console Sony Playstation 4 Slim 1tb Bundle God Of War. Gr,2675.1,Parana
MLB1122067265,2018-10-23,Ps4 Slim 1tb Hdr Playstation 4 -2 Controles- Envio Imediato!,2079.0,Parana
MLB1118373055,2018-10-23,Ps4 Slim Sony 1tb 3 Jogos Bundle Playstation 4 Novo,2170.0,Parana
MLB1118373025,2018-10-23,Playstation Sony 4 Ps4 Play 4 Slim 1tb Hits Bundle,2170.0,Parana
MLB1123033360,2018-10-23,Playstation Sony 4 Ps4 Play 4 Slim 1tb 2115b - Preço Justo!,1979.0,Parana
MLB1106901560,2018-10-23,Ps4 Playstation 4 Slim  1tb  Sony  Bivolt + Nota Fiscal,2199.0,Parana
